ROLL,ACTION_1,ACTION_2,DESCRIPTIONS_1,DESCRIPTIONS_2,ADVENTURE_TONE,ALIEN_SPECIES,ANIMAL_ACTIONS,ARMY_DESCRIPTORS,CAVERN_DESCRIPTORS,CHARACTERS,CHARACTERS_ACTIONS_COMBAT,CHARACTERS_ACTIONS_GENERAL,CHARACTERS_APPEARANCE,CHARACTERS_BACKGROUND,CHARACTERS_CONVERSATIONS,CHARACTERS_DESCRIPTORS,CHARACTERS_IDENTITY,CHARACTERS_MOTIVATION,CHARACTERS_PERSONALITY,CHARACTERS_SKILLS,CHARACTERS_TRAITS_FLAWS,CITY_DESCRIPTORS,CIVILZATION_DESCRIPTORS,CREATURE_ABILITIES,CREATURE_DESCRIPTORS,CRYPTIC_MESSAGE,CURSES,DOMICILE_DESCRIPTORS,DUNGEON_DESCRIPTORS,DUNGEON_TRAPS,FOREST_DESCRIPTORS,GODS,LEGENDS,LOCATIONS,MAGIC_ITEM_DESCRIPTORS,MUTATION_DESCRIPTORS,NAMES,NOBLE_HOUSE,OBJECTS,PLOT_TWISTS,POWERS,SCAVENGING_RESULTS,SMELLS,SOUNDS,SPELL_EFFECTS,STARSHIP_DESCRIPTORS,TERRAIN_DESCRIPTORS,UNDEAD_DESCRIPTORS,VISION_DREAMS
1,Adventurously,Advantage,Adventurously,Abnormal,Action,Advanced,Abandon,Active,Activity,Accompanied,Abandon,Abandon,Abnormal,Abandoned,Abuse,Abnormal,Abandoned,Adventure,Active,Activity,Academic,Activity,Active,Ambush,Aggressive,Abandoned,Abandon,Abandoned,Abandoned,Aggressive,Adversity,Active,Abandon,Abandoned,Animal,Agility,A,Aggressive,Active,Action,Absorb,Abundance,Acrid,Activity,Animal,Activity,Abandoned,Active,Activity
2,Aggressively,Adversity,Aggressively,Amusing,Activity,Aggressive,Abnormal,Aggressive,Ancient,Active,Abuse,Aggressive,Armed,Abuse,Advice,Active,Administrator,Adversity,Adventurous,Adversity,Adversity,Aggressive,Advanced,Animate,Agile,Activity,Age,Activity,Activity,Allies,Aggressive,Alien,Allies,Active,Animate,Animal,Action,Allies,Artistic,Attack,Adversity,Activity,Animal,Alarm,Animate,Adversity,Abundant,Aggressive,Adversity
3,Anxiously,Agreement,Anxiously,Artificial,Adventurous,Agile,Aggressive,Allies,Animals,Aggressive,Aggressive,Amusing,Aromatic,Academic,Aggressive,Adventurous,Adventurous,Ambition,Aggressive,Agility,Animal,Aromatic,Adventurous,Armor,Air,Adventure,Attract,Animal,Adversity,Ambush,Ambush,Ancient,Anger,Artistic,Area,Appearance,Ah,Anger,Average,Bad,Alter,Adversity,Antiseptic,Animal,Assist,Assist,Activity,Angry,Allies
4,Awkwardly,Animal,Awkwardly,Average,Adversity,Amphibious,Angry,Ambush,Aromatic,Ambush,Agree,Anger,Athletic,Activity,Agree,Aggressive,Adversary,Anger,Agreeable,Animals,Assist,Average,Aggressive,Arrive,Alien,Adversity,Bad,Aromatic,Ambush,Animals,Ancient,Angelic,Assist,Atmosphere,Armor,Armor,Ahg,Bestow,Beautiful,Barrier,Animate,Allies,Aromatic,Approach,Attack,Automated,Advanced,Animal,Assist
5,Beautifully,Attention,Beautifully,Beautiful,Aggressive,Ancient,Anxious,Animals,Art,Animal,Ally,Antagonize,Attractive,Adventurous,Amusing,Agreeable,Advisor,Approval,Ambitious,Art,Attract,Beautiful,Agricultural,Attach,Amorphous,Advice,Beauty,Art,Ancient,Animate,Animal,Angry,Attainment,Beautiful,Assist,Assist,An,Betray,Bizarre,Betray,Assist,Animal,Artificial,Banging,Attract,Battle,Allies,Anxious,Attainment
6,Bleakly,Balance,Bleakly,Bizarre,Amusing,Anxious,Assist,Arrive,Beautiful,Anxious,Ambush,Anxious,Average,Adversity,Angry,Ally,Ally,Art,Amusing,Assist,Beautiful,Bleak,Ancient,Attack,Animal,Allies,Betray,Average,Animal,Antagonize,Aromatic,Animal,Befriend,Bleak,Attack,Attach,Animal,Bizarre,Bright,Business,Attach,Art,Attractive,Battle,Bestow,Beautiful,Ancient,Attract,Bizarre
7,Boldly,Battle,Boldly,Boring,Anxious,Aquatic,Attack,Assist,Bizarre,Armed,Amuse,Assist,Bald,Art,Anxious,Ancient,Art,Attain,Angry,Athletic,Benefits,Block,Angry,Attract,Aquatic,Anger,Bizarre,Beautiful,Aromatic,Aromatic,Art,Art,Bestow,Bright,Attract,Attack,Ar,Block,Clothing,Change,Attack,Barrier,Bad,Beep,Bizarre,Bestow,Animals,Beautiful,Bleak
8,Bravely,Benefits,Bravely,Bright,Attainment,Arrogant,Befriend,Average,Bleak,Beautiful,Anger,Bestow,Beautiful,Assist,Assist,Angry,Artist,Business,Annoying,Attack,Bestow,Bridge,Anxious,Bite,Armored,Bestow,Block,Bizarre,Art,Art,Assist,Assist,Betray,Business,Benefit,Benefit,As,Break,Clue,Character,Block,Beauty,Bizarre,Bell,Block,Bleak,Atmosphere,Bestow,Catastrophe
9,Busily,Building,Busily,Broken,Average,Artistic,Bestow,Betray,Blocked,Bold,Antagonize,Betray,Bizarre,Average,Awkward,Anxious,Assistant,Change,Anxious,Attain,Bizarre,Bustling,Artistic,Block,Avian,Betray,Body,Bleak,Beautiful,Attach,Average,Attract,Bizarre,Calm,Bestow,Bestow,B,Bureaucracy,Cold,Conclude,Body,Bizarre,Burnt,Beseeching,Break,Block,Barren,Bizarre,Celebrate
10,Calmly,Burden,Calmly,Clean,Bizarre,Avian,Bizarre,Bizarre,Boulder,Busy,Anxious,Bizarre,Brutish,Bad,Betray,Armed,Athlete,Character,Arrogant,Average,Block,Calm,Average,Blunt,Beast,Bizarre,Break,Busy,Bizarre,Attention,Beautiful,Beautiful,Block,Charming,Block,Bizarre,Bah,Cautious,Colorful,Conditional,Change,Bleak,Chemical,Bizarre,Bright,Bright,Beautiful,Bleak,Change
